DeviceReferenceId,Device_Type,CountryCode,created_at,SwVersion,Day,AvgBatteryVoltage,AvgRSSI,HeartbeatCount,DisconnectNext24h
E7-00-50-62,One,MX,2023-12-24,"",2025-09-20 00:00:00,,,0,0
E7-00-50-7F,One,IL,2023-12-25,"",2025-09-20 00:00:00,,,0,0
E7-00-50-A5,One,BR,2024-01-14,"",2025-09-20 00:00:00,,,0,0
E7-00-52-69,One,MX,2024-06-05,"",2025-09-20 00:00:00,,,0,0
E7-00-53-CC,One,IL,2024-08-26,"",2025-09-20 00:00:00,,,0,0
E7-00-54-7B,One,IL,2024-09-18,"",2025-09-20 00:00:00,,,0,0
E7-00-54-9A,One,IL,2024-09-19,"",2025-09-20 00:00:00,,,0,0
E7-00-4E-6B,One,US,2023-06-08,"",2025-09-20 00:00:00,,,0,1
E7-00-4F-10,One,BR,2023-06-21,"",2025-09-20 00:00:00,,,0,1
E7-00-4F-1A,One,TR,2023-06-28,"",2025-09-20 00:00:00,,,0,1
E7-00-4F-26,One,BR,2023-06-22,"",2025-09-20 00:00:00,,,0,1
E7-00-4F-27,One,BR,2023-06-22,"",2025-09-20 00:00:00,,,0,1
E7-00-50-59,One,IL,2023-12-24,"",2025-09-20 00:00:00,,,0,1
E7-00-50-6C,One,MX,2023-12-24,"",2025-09-20 00:00:00,,,0,1
E7-00-50-91,One,IL,2023-12-26,"",2025-09-20 00:00:00,,,0,1
E7-00-50-93,One,IL,2023-12-26,"",2025-09-20 00:00:00,,,0,1
E7-00-50-A7,One,IL,2024-01-14,"",2025-09-20 00:00:00,,,0,1
E7-00-51-64,One,IL,2024-03-31,"",2025-09-20 00:00:00,,,0,1
E7-00-51-65,One,IL,2024-03-31,"",2025-09-20 00:00:00,,,0,1
E7-00-51-D3,One,TR,2024-04-19,"",2025-09-20 00:00:00,,,0,1
E7-00-51-F0,One,MX,2024-05-03,"",2025-09-20 00:00:00,,,0,1
E7-00-52-6C,One,MX,2024-06-05,"",2025-09-20 00:00:00,,,0,1
E7-00-52-A0,One,MA,2024-06-16,"",2025-09-20 00:00:00,,,0,1
E7-00-52-D2,One,GT,2024-06-20,"",2025-09-20 00:00:00,,,0,1
E7-00-52-F8,One,BR,2024-06-27,"",2025-09-20 00:00:00,,,0,1
E7-00-52-FB,One,BR,2024-06-27,"",2025-09-20 00:00:00,,,0,1
E7-00-53-29,One,TR,2024-07-08,"",2025-09-20 00:00:00,,,0,1
E7-00-53-E1,One,IL,2024-09-05,"",2025-09-20 00:00:00,,,0,1
E7-00-53-F3,One,BR,2024-09-08,"",2025-09-20 00:00:00,,,0,1
E7-00-53-F7,One,BR,2024-09-08,"",2025-09-20 00:00:00,,,0,1
E7-00-54-01,One,BR,2024-09-09,"",2025-09-20 00:00:00,,,0,1
E7-00-54-05,One,AR,2024-09-09,"",2025-09-20 00:00:00,,,0,1
E7-00-54-0F,One,BR,2024-09-09,"",2025-09-20 00:00:00,,,0,1
E7-00-54-35,One,CR,2024-09-11,"",2025-09-20 00:00:00,,,0,1
E7-00-54-36,One,BR,2024-09-11,"",2025-09-20 00:00:00,,,0,1
E7-00-54-38,One,BR,2024-09-11,"",2025-09-20 00:00:00,,,0,1
E7-00-54-3A,One,CR,2024-09-11,"",2025-09-20 00:00:00,,,0,1
E7-00-54-40,One,BR,2024-09-11,"",2025-09-20 00:00:00,,,0,1
E7-00-54-6B,One,IL,2024-09-17,"",2025-09-20 00:00:00,,,0,1
E7-00-54-98,One,IL,2024-09-19,"",2025-09-20 00:00:00,,,0,1
E7-00-54-D2,One,TR,2024-09-24,"",2025-09-20 00:00:00,,,0,1
E7-00-54-DB,One,HU,2024-09-25,"",2025-09-20 00:00:00,,,0,1
E7-00-55-0C,One,EC,2024-09-29,"",2025-09-20 00:00:00,,,0,1
E7-00-55-0F,One,MX,2024-09-29,"",2025-09-20 00:00:00,,,0,1
E7-00-55-18,One,GR,2024-09-30,"",2025-09-20 00:00:00,,,0,1
E7-00-55-19,One,MX,2024-09-30,"",2025-09-20 00:00:00,,,0,1
E7-00-55-36,One,GR,2024-10-08,"",2025-09-20 00:00:00,,,0,1
E7-00-55-38,One,GR,2024-10-08,"",2025-09-20 00:00:00,,,0,1
E7-00-55-3A,One,GR,2024-10-08,"",2025-09-20 00:00:00,,,0,1
E7-00-55-3B,One,GR,2024-10-08,"",2025-09-20 00:00:00,,,0,1
E7-00-55-3D,One,GR,2024-10-08,"",2025-09-20 00:00:00,,,0,1
E7-00-55-44,One,GR,2024-10-09,"",2025-09-20 00:00:00,,,0,1
E7-00-55-50,One,TR,2024-10-09,"",2025-09-20 00:00:00,,,0,1
E7-00-55-51,One,TR,2024-10-09,"",2025-09-20 00:00:00,,,0,1
E7-00-55-52,One,TR,2024-10-09,"",2025-09-20 00:00:00,,,0,1
E7-00-55-57,One,US,2024-10-09,"",2025-09-20 00:00:00,,,0,1
E7-00-55-5D,One,US,2024-10-10,"",2025-09-20 00:00:00,,,0,1
E7-00-55-6B,One,TR,2024-10-10,"",2025-09-20 00:00:00,,,0,1
E7-00-55-DA,One,US,2024-10-22,"",2025-09-20 00:00:00,,,0,1
E7-00-55-DD,One,US,2024-10-22,"",2025-09-20 00:00:00,,,0,1
E7-00-55-E3,One,US,2024-10-22,"",2025-09-20 00:00:00,,,0,1
E7-00-55-EA,One,GR,2024-10-27,"",2025-09-20 00:00:00,,,0,1
E7-00-55-EE,One,GR,2024-10-27,"",2025-09-20 00:00:00,,,0,1
E7-00-55-F0,One,GR,2024-10-27,"",2025-09-20 00:00:00,,,0,1
E7-00-55-F1,One,BR,2024-10-27,"",2025-09-20 00:00:00,,,0,1
E7-00-56-00,One,MA,2024-10-27,"",2025-09-20 00:00:00,,,0,1
E7-00-56-10,One,GR,2024-10-28,"",2025-09-20 00:00:00,,,0,1
E7-00-56-11,One,GR,2024-10-28,"",2025-09-20 00:00:00,,,0,1
E7-00-56-16,One,GR,2024-10-28,"",2025-09-20 00:00:00,,,0,1
E7-00-56-3C,One,BR,2024-10-30,"",2025-09-20 00:00:00,,,0,1
E7-00-56-42,One,US,2024-10-30,"",2025-09-20 00:00:00,,,0,1
E7-00-56-4D,One,BR,2024-10-31,"",2025-09-20 00:00:00,,,0,1
E7-00-56-56,One,BR,2024-10-31,"",2025-09-20 00:00:00,,,0,1
E7-00-56-DA,One,MD,2024-12-17,"",2025-09-20 00:00:00,,,0,1
E7-00-56-DE,One,TR,2024-12-18,"",2025-09-20 00:00:00,,,0,1
E7-00-56-E3,One,TR,2024-12-18,"",2025-09-20 00:00:00,,,0,1
E7-00-57-0E,One,TR,2024-12-23,"",2025-09-20 00:00:00,,,0,1
E7-00-57-0F,One,TR,2024-12-23,"",2025-09-20 00:00:00,,,0,1
E7-00-57-13,One,MD,2024-12-23,"",2025-09-20 00:00:00,,,0,1
E7-00-57-14,One,TR,2024-12-23,"",2025-09-20 00:00:00,,,0,1
E7-00-57-15,One,MD,2024-12-23,"",2025-09-20 00:00:00,,,0,1
E7-00-57-17,One,MD,2024-12-23,"",2025-09-20 00:00:00,,,0,1
E7-00-57-18,One,MD,2024-12-23,"",2025-09-20 00:00:00,,,0,1
E7-00-57-1A,One,MD,2024-12-23,"",2025-09-20 00:00:00,,,0,1
E7-00-57-1C,One,TR,2024-12-23,"",2025-09-20 00:00:00,,,0,1
E7-00-57-1E,One,MD,2024-12-23,"",2025-09-20 00:00:00,,,0,1
E7-00-57-23,One,MD,2024-12-24,"",2025-09-20 00:00:00,,,0,1
E7-00-57-28,One,MD,2024-12-24,"",2025-09-20 00:00:00,,,0,1
E7-00-57-32,One,MD,2024-12-24,"",2025-09-20 00:00:00,,,0,1
E7-00-57-33,One,MD,2024-12-24,"",2025-09-20 00:00:00,,,0,1
E7-00-57-59,One,IT,2024-12-26,"",2025-09-20 00:00:00,,,0,1
E7-00-57-75,One,IT,2025-01-22,"",2025-09-20 00:00:00,,,0,1
E7-00-57-D0,One,IT,2025-01-29,"",2025-09-20 00:00:00,,,0,1
E7-00-57-F2,One,AR,2025-02-02,"",2025-09-20 00:00:00,,,0,1
E7-00-57-F5,One,US,2025-02-02,"",2025-09-20 00:00:00,,,0,1
E7-00-58-01,One,US,2025-02-03,"",2025-09-20 00:00:00,,,0,1
E7-00-58-14,One,MD,2025-02-03,"",2025-09-20 00:00:00,,,0,1
E7-00-58-16,One,MD,2025-02-04,"",2025-09-20 00:00:00,,,0,1
E7-00-58-39,One,MD,2025-02-05,"",2025-09-20 00:00:00,,,0,1
E7-00-58-3A,One,MD,2025-02-05,"",2025-09-20 00:00:00,,,0,1
E7-00-58-3B,One,MD,2025-02-05,"",2025-09-20 00:00:00,,,0,1
E7-00-58-3C,One,MD,2025-02-05,"",2025-09-20 00:00:00,,,0,1
E7-00-58-3D,One,MD,2025-02-05,"",2025-09-20 00:00:00,,,0,1
E7-00-58-3E,One,MD,2025-02-05,"",2025-09-20 00:00:00,,,0,1
E7-00-58-40,One,MD,2025-02-06,"",2025-09-20 00:00:00,,,0,1
E7-00-58-41,One,MD,2025-02-06,"",2025-09-20 00:00:00,,,0,1
E7-00-58-44,One,MD,2025-02-06,"",2025-09-20 00:00:00,,,0,1
E7-00-58-51,One,MX,2025-02-12,"",2025-09-20 00:00:00,,,0,1
E7-00-58-EA,One,US,2025-02-24,"",2025-09-20 00:00:00,,,0,1
E7-00-58-EE,One,US,2025-02-24,"",2025-09-20 00:00:00,,,0,1
E7-00-59-54,One,MD,2025-03-13,"",2025-09-20 00:00:00,,,0,1
E7-00-59-64,One,MD,2025-03-16,"",2025-09-20 00:00:00,,,0,1
E7-00-59-75,One,MD,2025-03-24,"",2025-09-20 00:00:00,,,0,1
E7-00-59-78,One,MD,2025-03-24,"",2025-09-20 00:00:00,,,0,1
E7-00-59-7B,One,MD,2025-03-24,"",2025-09-20 00:00:00,,,0,1
E7-00-59-7F,One,MD,2025-03-24,"",2025-09-20 00:00:00,,,0,1
E7-00-59-81,One,MD,2025-03-24,"",2025-09-20 00:00:00,,,0,1
E7-00-59-82,One,MD,2025-03-24,"",2025-09-20 00:00:00,,,0,1
E7-00-59-83,One,MX,2025-03-24,"",2025-09-20 00:00:00,,,0,1
E7-00-59-87,One,KE,2025-03-25,"",2025-09-20 00:00:00,,,0,1
E7-00-59-8A,One,IT,2025-03-25,"",2025-09-20 00:00:00,,,0,1
E7-00-59-8C,One,KE,2025-03-25,"",2025-09-20 00:00:00,,,0,1
E7-00-59-8D,One,KE,2025-03-25,"",2025-09-20 00:00:00,,,0,1
E7-00-59-8E,One,KE,2025-03-25,"",2025-09-20 00:00:00,,,0,1
E7-00-59-91,One,MX,2025-03-25,"",2025-09-20 00:00:00,,,0,1
E7-00-59-95,One,KE,2025-03-26,"",2025-09-20 00:00:00,,,0,1
E7-00-59-98,One,KE,2025-03-26,"",2025-09-20 00:00:00,,,0,1
E7-00-5A-49,One,IT,2025-05-15,"",2025-09-20 00:00:00,,,0,1
E7-00-5B-3E,One,IL,2025-06-22,"",2025-09-20 00:00:00,,,0,1
E7-00-5B-45,One,IL,2025-06-23,"",2025-09-20 00:00:00,,,0,1
E7-00-5D-42,One,IN,2025-10-07,"",2025-09-20 00:00:00,,,0,1
E7-00-55-87,One,IL,2024-10-14,3.1.37,2025-09-20 00:00:00,2858.6666666666665,39.333333333333336,3,1
E7-00-55-D3,One,IL,2024-10-21,3.1.37,2025-09-20 00:00:00,2877.3333333333335,21.22222222222222,18,1
E7-00-57-0D,One,IL,2024-12-23,3.1.37,2025-09-20 00:00:00,2979.4285714285716,40.285714285714285,28,1
E7-00-55-7C,One,IL,2024-10-13,3.1.37,2025-09-20 00:00:00,2999.3846153846152,18.871794871794872,39,1
E7-00-4E-A3,One,IL,2023-06-15,3.1.37,2025-09-20 00:00:00,3006.4761904761904,47.61904761904762,21,1
E7-00-55-AD,One,IL,2024-10-20,3.1.37,2025-09-20 00:00:00,3025.5238095238096,30.857142857142858,21,1
E7-00-50-A2,One,IL,2024-01-14,3.1.37,2025-09-20 00:00:00,3032.5333333333333,48.46666666666667,15,1
E7-00-57-2A,One,IL,2024-12-24,3.1.37,2025-09-20 00:00:00,3043.5555555555557,25.933333333333334,45,1
E7-00-4F-92,One,IL,2023-11-15,3.1.37,2025-09-20 00:00:00,3098.75,42.96875,64,1
E7-00-52-7F,One,GR,2024-06-10,3.1.37,2025-09-20 00:00:00,3152,29.391304347826086,23,1
E7-00-57-D7,One,IL,2025-01-29,3.1.37,2025-09-20 00:00:00,3228,25.916666666666668,12,1
E7-00-58-4A,One,IL,2025-02-06,3.1.37,2025-09-20 00:00:00,3242.181818181818,44.27272727272727,11,1
E7-00-55-8D,One,IL,2024-10-14,3.1.37,2025-09-20 00:00:00,3264.6575342465753,26.54794520547945,73,0
E7-00-51-FD,One,MX,2024-05-05,3.1.37,2025-09-20 00:00:00,3308.4444444444443,17.88888888888889,9,1
E7-00-4E-AD,One,TR,2023-06-15,3.1.37,2025-09-20 00:00:00,3315.8230088495575,30.805309734513273,113,0
E7-00-53-08,One,TR,2024-07-01,3.1.37,2025-09-20 00:00:00,3320.8275862068967,23.5,58,0
E7-00-57-87,One,IT,2025-01-22,3.1.37,2025-09-20 00:00:00,3419,33.25,48,1
E7-00-58-49,One,IT,2025-02-06,3.1.37,2025-09-20 00:00:00,3444.8,33.36,50,0
E7-00-58-4B,One,IT,2025-02-06,3.1.37,2025-09-20 00:00:00,3458.153846153846,32.63461538461539,52,0
E7-00-57-CA,One,IT,2025-01-28,3.1.37,2025-09-20 00:00:00,3466.0392156862745,29.058823529411764,51,0
E7-00-57-D5,One,IT,2025-01-29,3.1.37,2025-09-20 00:00:00,3475.862068965517,34.46551724137931,58,0
E7-00-54-19,One,MX,2024-09-10,3.1.37,2025-09-20 00:00:00,3507.942028985507,21.855072463768117,69,0
E7-00-57-86,One,IT,2025-01-22,3.1.37,2025-09-20 00:00:00,3514.181818181818,30.490909090909092,55,0
E7-00-4F-90,One,IL,2023-11-15,3.1.37,2025-09-20 00:00:00,3567.3469387755104,44.734693877551024,49,0
E7-00-56-BD,One,IL,2024-11-10,3.1.37,2025-09-20 00:00:00,3584,18.92,75,0
E7-00-57-DD,One,IL,2025-01-29,3.1.37,2025-09-20 00:00:00,3606.9135802469136,29.037037037037038,81,0
E7-00-57-92,One,IT,2025-01-23,3.1.37,2025-09-20 00:00:00,3610.6666666666665,30.607843137254903,51,0
E7-00-54-81,One,TH,2024-09-18,3.2.0,2025-09-20 00:00:00,3610.7906976744184,31.953488372093023,43,0
E7-00-59-0C,One,CR,2025-02-26,3.1.37,2025-09-20 00:00:00,3635.6923076923076,20.53846153846154,26,0
E7-00-4E-FC,One,TR,2023-06-20,3.1.37,2025-09-20 00:00:00,3650.285714285714,28.983193277310924,119,0
E7-00-4E-EA,One,IL,2023-06-20,3.2.0,2025-09-20 00:00:00,3666.206896551724,39.93103448275862,29,0
E7-00-54-25,One,IL,2024-09-10,3.1.37,2025-09-20 00:00:00,3687.2727272727275,25.381818181818183,55,0
E7-00-52-AA,One,BR,2024-06-17,3.1.37,2025-09-20 00:00:00,3707.9148936170213,32.148936170212764,47,0
E7-00-57-8A,One,IT,2025-01-23,3.1.37,2025-09-20 00:00:00,3710.4,30.12,50,0
E7-00-4F-F7,One,HR,2023-12-17,3.2.0,2025-09-20 00:00:00,3734.017094017094,22.299145299145298,117,0
E7-00-52-EB,One,MA,2024-06-26,3.1.37,2025-09-20 00:00:00,3735.322033898305,33.293785310734464,177,0
E7-00-54-6F,One,IL,2024-09-17,3.1.37,2025-09-20 00:00:00,3754,25.02777777777778,72,0
E7-00-57-7B,One,CO,2025-01-22,3.1.37,2025-09-20 00:00:00,3755.6363636363635,40.40909090909091,44,0
E7-00-57-34,One,IL,2024-12-24,3.1.37,2025-09-20 00:00:00,3784.5581395348836,37.383720930232556,86,0
E7-00-51-A2,One,TR,2024-04-11,3.2.0,2025-09-20 00:00:00,3806.6478873239435,39.021126760563384,142,0
E7-00-51-A3,One,TR,2024-04-11,3.2.0,2025-09-20 00:00:00,3816.754716981132,34.490566037735846,159,0
E7-00-56-4F,One,IL,2024-10-31,3.1.37,2025-09-20 00:00:00,3832.328767123288,34.178082191780824,73,0
E7-00-4F-DE,One,JP,2023-12-06,3.1.37,2025-09-20 00:00:00,3850,33.25,48,0
E7-00-51-62,One,IL,2024-03-31,3.1.37,2025-09-20 00:00:00,3862.0845070422533,33.66197183098591,71,0
E7-00-52-91,One,BR,2024-06-14,3.1.37,2025-09-20 00:00:00,3875.3684210526317,31.228070175438596,57,0
E7-00-52-8C,One,BR,2024-06-14,3.1.37,2025-09-20 00:00:00,3898.769230769231,27.25,52,0
E7-00-57-C4,One,IL,2025-01-28,3.1.37,2025-09-20 00:00:00,3900.27397260274,37.83561643835616,73,0
E7-00-51-67,One,IL,2024-03-31,3.1.37,2025-09-20 00:00:00,3901.0169491525426,37.067796610169495,59,0
E7-00-57-D9,One,IL,2025-01-29,3.1.37,2025-09-20 00:00:00,3903.0243902439024,32.53658536585366,82,0
E7-00-52-B2,One,BR,2024-06-17,3.1.37,2025-09-20 00:00:00,3904,39.224489795918366,49,0
E7-00-57-AF,One,IL,2025-01-27,3.1.37,2025-09-20 00:00:00,3905.7297297297296,41.08108108108108,74,0
E7-00-55-88,One,IL,2024-10-14,3.1.37,2025-09-20 00:00:00,3907.1111111111113,43.291666666666664,72,0
E7-00-52-F9,One,BR,2024-06-27,3.1.37,2025-09-20 00:00:00,3911.7241379310344,22.103448275862068,29,0
E7-00-4E-22,One,BR,2023-04-20,3.1.37,2025-09-20 00:00:00,3914.0392156862745,32.72549019607843,51,0
E7-00-57-D3,One,IL,2025-01-29,3.1.37,2025-09-20 00:00:00,3914.7368421052633,33.26315789473684,76,0
E7-00-53-0C,One,TR,2024-07-01,3.1.37,2025-09-20 00:00:00,3920.659793814433,28.38144329896907,97,0
E7-00-52-96,One,BR,2024-06-16,3.1.37,2025-09-20 00:00:00,3920.8571428571427,28.767857142857142,56,0
E7-00-4E-3A,One,BR,2023-04-19,3.2.0,2025-09-20 00:00:00,3922.1666666666665,32.270833333333336,96,0
E7-00-4E-86,One,TR,2023-06-12,3.1.37,2025-09-20 00:00:00,3924.0851063829787,31.074468085106382,94,0
E7-00-4F-D9,One,JP,2023-12-06,3.1.37,2025-09-20 00:00:00,3929.1428571428573,38.12244897959184,49,0
E7-00-54-0B,One,AR,2024-09-09,3.1.37,2025-09-20 00:00:00,3930.5494505494507,29.307692307692307,182,0
E7-00-52-AD,One,BR,2024-06-17,3.1.37,2025-09-20 00:00:00,3934.4,34.76,50,0
E7-00-54-4C,One,BR,2024-09-15,3.1.37,2025-09-20 00:00:00,3937.6,19.48,50,0
E7-00-53-03,One,TR,2024-06-30,3.1.37,2025-09-20 00:00:00,3939.178082191781,23.164383561643834,146,0
E7-00-57-DF,One,IL,2025-01-30,3.1.37,2025-09-20 00:00:00,3939.5324675324673,38.58441558441559,77,0
E7-00-58-42,One,IL,2025-02-06,3.1.37,2025-09-20 00:00:00,3941.194805194805,46.896103896103895,77,0
E7-00-57-C3,One,IL,2025-01-28,3.1.37,2025-09-20 00:00:00,3942.5641025641025,31.243589743589745,78,0
E7-00-4E-DA,One,TR,2023-06-19,3.1.37,2025-09-20 00:00:00,3943.3411764705884,47.1764705882353,85,0
E7-00-51-E0,One,TR,2024-04-19,3.1.37,2025-09-20 00:00:00,3943.8688524590166,19.278688524590162,122,0
E7-00-4F-D6,One,IN,2023-12-06,3.1.37,2025-09-20 00:00:00,3945.469387755102,44.3469387755102,49,0
E7-00-55-2E,One,IL,2024-10-01,3.1.37,2025-09-20 00:00:00,3949.4054054054054,35.067567567567565,74,0
E7-00-54-64,One,IL,2024-09-17,3.1.37,2025-09-20 00:00:00,3951.2,23.066666666666666,60,0
E7-00-52-77,One,BR,2024-06-06,3.1.37,2025-09-20 00:00:00,3951.703703703704,27.666666666666668,54,0
E7-00-57-F4,One,IT,2025-02-02,3.1.37,2025-09-20 00:00:00,3952.603773584906,37.528301886792455,53,0
E7-00-54-0C,One,BR,2024-09-09,3.1.37,2025-09-20 00:00:00,3953.6666666666665,31.854166666666668,48,0
E7-00-54-B9,One,DE,2024-09-23,3.2.0,2025-09-20 00:00:00,3956.16,23.48,50,0
E7-00-57-C9,One,IL,2025-01-28,3.1.37,2025-09-20 00:00:00,3957.4153846153845,26.369230769230768,65,0
E7-00-4E-95,One,ID,2023-06-13,3.1.37,2025-09-20 00:00:00,3960.2580645161293,41.91935483870968,62,0
E7-00-4F-FA,One,MX,2023-12-17,3.1.37,2025-09-20 00:00:00,3960.64,23.64,50,0
E7-00-54-0D,One,BR,2024-09-09,3.1.37,2025-09-20 00:00:00,3961.3333333333335,30.895833333333332,48,0
E7-00-51-CD,One,TR,2024-04-17,3.2.0,2025-09-20 00:00:00,3961.531914893617,21.25531914893617,47,0
E7-00-4F-2B,One,BR,2023-06-26,3.1.37,2025-09-20 00:00:00,3966.222222222222,16.555555555555557,27,0
E7-00-4E-F8,One,BR,2023-06-20,3.1.37,2025-09-20 00:00:00,3966.6356589147285,34.01550387596899,129,0
E7-00-4F-4C,One,BR,2023-06-28,3.1.37,2025-09-20 00:00:00,3967.288888888889,23.533333333333335,45,1
E7-00-4E-FE,One,BR,2023-06-21,3.1.37,2025-09-20 00:00:00,3968.470588235294,26.03921568627451,102,0
E7-00-54-2F,One,BR,2024-09-11,3.1.37,2025-09-20 00:00:00,3968.68085106383,23.638297872340427,47,0
E7-00-54-26,One,BG,2024-09-10,3.1.37,2025-09-20 00:00:00,3972.285714285714,29.910714285714285,56,0
E7-00-51-A0,One,TR,2024-04-11,3.1.37,2025-09-20 00:00:00,3972.3508771929824,47.24561403508772,114,0
E7-00-54-31,One,BR,2024-09-11,3.1.37,2025-09-20 00:00:00,3973.76,32.36,50,0
E7-00-4F-50,One,BR,2023-06-28,3.1.37,2025-09-20 00:00:00,3973.818181818182,26.163636363636364,55,0
E7-00-52-6E,One,MX,2024-06-06,3.1.37,2025-09-20 00:00:00,3974,25.5375,80,0
E7-00-4F-BD,One,IL,2023-12-05,3.1.37,2025-09-20 00:00:00,3974.5,46.71875,96,0
E7-00-58-43,One,IL,2025-02-06,3.1.37,2025-09-20 00:00:00,3975.9036144578313,21.50602409638554,83,0
E7-00-4E-DB,One,TR,2023-06-19,3.1.37,2025-09-20 00:00:00,3976.757894736842,49,95,0
E7-00-53-0F,One,TR,2024-07-01,3.2.0,2025-09-20 00:00:00,3976.7741935483873,35.87903225806452,124,0
